#Frame,Sentiment Label,Sentiment Score
910,Sad,0.40171424
911,Sad,0.72439444
912,Anger,0.42986155
913,Anger,0.6475989
914,Anger,0.48063448
915,Neutral,0.3783697
916,Neutral,0.38630652
917,Neutral,0.4194028
918,Anger,0.5723387
919,Anger,0.5270028
920,Anger,0.44819242
921,Anger,0.44321227
922,Anger,0.5708118
923,Anger,0.5824234
924,Anger,0.4739922
925,Anger,0.4198371
926,Anger,0.5081744
927,Anger,0.4267363
928,Anger,0.5660788
929,Anger,0.45625323
930,Anger,0.4348856
931,Anger,0.4379753
932,Sad,0.42302868
933,Anger,0.49007162
934,Anger,0.4422012
935,Anger,0.47116306
936,Sad,0.4727179
937,Anger,0.4198549
938,Sad,0.43956456
939,Anger,0.47921035
940,Anger,0.50770396
941,Anger,0.38762614
942,Anger,0.40204138
943,Anger,0.43678746
944,Anger,0.40504265
945,Anger,0.54451686
946,Anger,0.5977083
947,Anger,0.46770704
948,Anger,0.3427095
949,Anger,0.5408318
950,Anger,0.43150955
951,Neutral,0.32385582
952,Sad,0.31818357
953,Anger,0.36734173
954,Anger,0.31165448
955,Anger,0.37754717
956,Neutral,0.34890914
957,Anger,0.36897254
958,Anger,0.53062326
959,Anger,0.57074064
960,Anger,0.4444076
961,Anger,0.45692867
962,Anger,0.38512415
963,Anger,0.4939663
964,Anger,0.48410532
965,Anger,0.4283211
966,Anger,0.38337177
967,Anger,0.45081604
968,Anger,0.43514612
969,Anger,0.40183124
970,Anger,0.47878432
971,Anger,0.5294823
972,Anger,0.47064865
973,Anger,0.44359905
974,Anger,0.4569286
975,Anger,0.57611716
976,Anger,0.43160117
977,Anger,0.44653004
978,Anger,0.52144134
979,Anger,0.5751085
980,Anger,0.42136917
981,Anger,0.56686836
982,Anger,0.5211126
983,Anger,0.54176414
984,Anger,0.5475545
985,Anger,0.52417
986,Anger,0.56909764
987,Anger,0.6225194
988,Sad,0.47109354
989,Sad,0.3999339
990,Anger,0.5036397
991,Anger,0.6886111
992,Anger,0.6549873
993,Anger,0.6682755
994,Anger,0.39339453
995,Anger,0.563154
996,Anger,0.5896757
997,Anger,0.5511831
998,Anger,0.41496933
999,Anger,0.52167094
1000,Anger,0.5269113
1001,Sad,0.49108616
1002,Anger,0.5678333
1003,Anger,0.55871254
1004,Anger,0.5721072
1005,Anger,0.45620033
1006,Anger,0.49304166
1007,Anger,0.43741068
1008,Anger,0.47747242
1009,Anger,0.5208432
1010,Anger,0.59919125
1011,Anger,0.48635674
1012,Anger,0.45841113
1013,Anger,0.50897205
1014,Anger,0.535524
1015,Anger,0.5010111
1016,Anger,0.5322558
1017,Anger,0.49750838
1018,Anger,0.48410678
1019,Anger,0.49198472
1020,Anger,0.5076655
1021,Anger,0.5706256
1022,Anger,0.55948323
1023,Anger,0.4929492
1024,Anger,0.5109418
1025,Anger,0.4638464
1026,Anger,0.46565515
1027,Anger,0.38046673
1028,Anger,0.4133661
1029,Anger,0.36428007
1030,Anger,0.4641784
1031,Anger,0.396135
1032,Sad,0.44268155
1033,Sad,0.45152342
1034,Sad,0.42407182
1035,Sad,0.44703594
1036,Anger,0.41395795
1037,Anger,0.3956683
1038,Anger,0.48400137
1039,Anger,0.52509236
1040,Anger,0.47294667
1041,Anger,0.44633773
1042,Anger,0.4352113
1043,Anger,0.51554596
1044,Anger,0.37370026
1045,Anger,0.41333747
1046,Anger,0.38257235
1047,Anger,0.48938185
1048,Anger,0.5196355
1049,Anger,0.51110846
1050,Anger,0.54982543
1051,Anger,0.47124517
1052,Anger,0.46456698
1053,Anger,0.44745725
1054,Anger,0.48867166
1055,Anger,0.43156683
1056,Anger,0.370976
1057,Anger,0.38634303
1058,Anger,0.42714125
1059,Anger,0.48699597
1060,Anger,0.40485638
1061,Anger,0.48069122
1062,Anger,0.5171647
1063,Anger,0.43698695
1064,Anger,0.43443796
1065,Anger,0.49181488
1066,Anger,0.45231453
1067,Anger,0.36075717
1068,Neutral,0.342284
1069,Anger,0.46405545
1070,Sad,0.44249973
1071,Anger,0.3682368
1072,Sad,0.3966346
1073,Sad,0.3777225
1074,Anger,0.36333403
1075,Anger,0.33491793
1076,Anger,0.5118919
1077,Anger,0.42310554
1078,Anger,0.5519105
1079,Anger,0.6089306
1080,Anger,0.46548542
1081,Anger,0.59452355
1082,Anger,0.47359607
1083,Anger,0.5575459
1084,Anger,0.5004478
1085,Neutral,0.329888
1086,Anger,0.49029946
1087,Anger,0.5353959
1088,Anger,0.5142427
1089,Sad,0.6562679
1090,Sad,0.6735126
1091,Sad,0.6689522
1092,Sad,0.65499955
1093,Sad,0.6432255
1094,Sad,0.60337496
1095,Sad,0.45302114
1096,Sad,0.48083335
1097,Sad,0.5139849
1098,Sad,0.5110228
1099,Sad,0.61919534
1100,Sad,0.6579942
1101,Sad,0.58159727
1102,Sad,0.61983246
1103,Sad,0.63118935
1104,Sad,0.6566633
1105,Sad,0.5487771
1106,Sad,0.5814874
1107,Sad,0.6210558
1108,Sad,0.6721746
1109,Sad,0.6489004
1110,Sad,0.5900545
1111,Sad,0.58050185
1112,Sad,0.581068
1113,Sad,0.6670116
1114,Sad,0.57707834
1115,Sad,0.4642423
1116,Sad,0.6405191
1117,Sad,0.64646655
1118,Sad,0.64862555
1119,Sad,0.6346596
1120,Sad,0.62734014
1121,Sad,0.51392835
1122,Sad,0.60736716
1123,Sad,0.67813694
1124,Sad,0.7753679
1125,Sad,0.69679445
1126,Sad,0.70372605
1127,Sad,0.589805
1128,Sad,0.589805
1129,Sad,0.589805
1130,Sad,0.6531807
1131,Sad,0.7257861
1132,Sad,0.64240867
1133,Sad,0.64240867
1134,Sad,0.50093573
1135,Sad,0.578517
1136,Sad,0.5922775
1137,Sad,0.7198827
1138,Sad,0.64050144
1139,Sad,0.6633856
1140,Sad,0.5710904
1141,Sad,0.6132012
1142,Sad,0.6894121
1143,Sad,0.6549183
1144,Sad,0.70032257
1145,Sad,0.70032257
